"","sensitivity","specificity","thresholds"
"1",1,0,-Inf
"2",1,0.000214592274678112,0.14161416888237
"3",1,0.000429184549356223,0.144322074949741
"4",1,0.000643776824034335,0.145227745175362
"5",1,0.000858369098712446,0.145282715559006
"6",1,0.00107296137339056,0.145512960851192
"7",1,0.00128755364806867,0.145787172019482
"8",1,0.00150214592274678,0.145981520414352
"9",1,0.00171673819742489,0.146243304014206
"10",1,0.001931330472103,0.146368034183979
"11",1,0.00214592274678112,0.14641760289669
"12",1,0.00236051502145923,0.146782025694847
"13",1,0.00257510729613734,0.14759735763073
"14",1,0.00300429184549356,0.148563630878925
"15",1,0.00321888412017167,0.149347640573978
"16",1,0.00343347639484979,0.149734623730183
"17",1,0.0036480686695279,0.149899490177631
"18",1,0.00386266094420601,0.149984173476696
"19",1,0.00407725321888412,0.150037340819836
"20",1,0.00429184549356223,0.150099262595177
"21",1,0.00450643776824034,0.150433354079723
"22",1,0.00472103004291845,0.15085144340992
"23",1,0.00515021459227468,0.15097738802433
"24",1,0.00536480686695279,0.151109948754311
"25",1,0.00579399141630901,0.15123575180769
"26",1,0.00600858369098712,0.151531122624874
"27",1,0.00622317596566524,0.151811026036739
"28",1,0.00643776824034335,0.15190364420414
"29",1,0.00665236051502146,0.15201510488987
"30",1,0.00686695278969957,0.152114883065224
"31",1,0.00708154506437768,0.152221605181694
"32",1,0.00729613733905579,0.152397394180298
"33",1,0.00751072961373391,0.152554407715797
"34",1,0.00772532188841202,0.152771897614002
"35",1,0.00793991416309013,0.152984999120235
"36",1,0.00815450643776824,0.153152748942375
"37",1,0.00858369098712446,0.153356917202473
"38",1,0.00879828326180257,0.153450101613998
"39",1,0.00901287553648069,0.153605043888092
"40",1,0.0092274678111588,0.153758406639099
"41",1,0.00944206008583691,0.153809294104576
"42",1,0.0100858369098712,0.153936721384525
"43",1,0.0103004291845494,0.154092915356159
"44",1,0.0105150214592275,0.154203541576862
"45",1,0.0107296137339056,0.154498644173145
"46",1,0.0109442060085837,0.15474321693182
"47",1,0.011587982832618,0.154769003391266
"48",1,0.0118025751072961,0.154855974018574
"49",1,0.0120171673819742,0.155127517879009
"50",1,0.0122317596566524,0.155485659837723
"51",1,0.0126609442060086,0.155717834830284
"52",1,0.0130901287553648,0.15578480809927
"53",1,0.0133047210300429,0.155825391411781
"54",1,0.013519313304721,0.155895330011845
"55",1,0.0137339055793991,0.156353875994682
"56",1,0.0139484978540773,0.156805008649826
"57",1,0.0141630901287554,0.156881600618362
"58",1,0.0143776824034335,0.157226987183094
"59",1,0.0145922746781116,0.157533504068851
"60",1,0.0148068669527897,0.157611846923828
"61",1,0.0150214592274678,0.15768276154995
"62",1,0.0152360515021459,0.157711155712605
"63",1,0.015450643776824,0.157929293811321
"64",1,0.0156652360515021,0.158131971955299
"65",1,0.0158798283261803,0.158160090446472
"66",1,0.0160944206008584,0.158179715275764
"67",1,0.0163090128755365,0.158254861831665
"68",1,0.0165236051502146,0.158361501991749
"69",1,0.0167381974248927,0.158396787941456
"70",1,0.0169527896995708,0.158418342471123
"71",1,0.0171673819742489,0.158586606383324
"72",1,0.017381974248927,0.158775694668293
"73",1,0.0175965665236051,0.158838123083115
"74",1,0.0178111587982833,0.158861331641674
"75",1,0.0180257510729614,0.158981077373028
"76",1,0.0182403433476395,0.159243494272232
"77",1,0.0184549356223176,0.159402124583721
"78",1,0.0186695278969957,0.159491531550884
"79",1,0.0188841201716738,0.160024538636208
"80",1,0.0190987124463519,0.160531550645828
"81",1,0.01931330472103,0.160648837685585
"82",1,0.0195278969957082,0.160805143415928
"83",1,0.0197424892703863,0.160959154367447
"84",1,0.0199570815450644,0.161108642816544
"85",1,0.0201716738197425,0.161449737846851
"86",1,0.0206008583690987,0.161771208047867
"87",1,0.0208154506437768,0.161852560937405
"88",1,0.0210300429184549,0.161956749856472
"89",1,0.021244635193133,0.162158101797104
"90",1,0.0214592274678112,0.162286557257175
"91",1,0.0216738197424893,0.162372633814812
"92",1,0.0218884120171674,0.162557505071163
"93",1,0.0221030042918455,0.162795387208462
"94",1,0.0223175965665236,0.163065887987614
"95",1,0.0225321888412017,0.163230054080486
"96",1,0.0227467811158798,0.163366377353668
"97",1,0.0229613733905579,0.163598641753197
"98",1,0.0231759656652361,0.163841806352139
"99",1,0.0233905579399142,0.163982249796391
"100",1,0.0236051502145923,0.164008505642414
"101",1,0.0238197424892704,0.164059713482857
"102",1,0.0240343347639485,0.164117053151131
"103",0.999232540291635,0.0240343347639485,0.164223536849022
"104",0.999232540291635,0.0242489270386266,0.164387598633766
"105",0.999232540291635,0.0244635193133047,0.164629057049751
"106",0.999232540291635,0.0246781115879828,0.164950743317604
"107",0.999232540291635,0.0251072961373391,0.165240414440632
"108",0.999232540291635,0.0253218884120172,0.165400840342045
"109",0.999232540291635,0.0255364806866953,0.16560672968626
"110",0.999232540291635,0.0257510729613734,0.165878169238567
"111",0.999232540291635,0.0259656652360515,0.165992736816406
"112",0.999232540291635,0.0261802575107296,0.166155777871609
"113",0.999232540291635,0.0263948497854077,0.166464224457741
"114",0.999232540291635,0.0266094420600858,0.166667491197586
"115",0.999232540291635,0.0268240343347639,0.166826665401459
"116",0.999232540291635,0.0270386266094421,0.1670031696558
"117",0.999232540291635,0.0272532188841202,0.167076006531715
"118",0.999232540291635,0.0274678111587983,0.167229816317558
"119",0.999232540291635,0.0276824034334764,0.167369961738586
"120",0.999232540291635,0.0278969957081545,0.167545087635517
"121",0.999232540291635,0.0281115879828326,0.167830854654312
"122",0.999232540291635,0.0283261802575107,0.168081685900688
"123",0.999232540291635,0.0285407725321888,0.168421715497971
"124",0.999232540291635,0.028755364806867,0.168627537786961
"125",0.999232540291635,0.0289699570815451,0.168692298233509
"126",0.999232540291635,0.0291845493562232,0.168933816254139
"127",0.999232540291635,0.0293991416309013,0.169313788414001
"128",0.999232540291635,0.0296137339055794,0.169724814593792
"129",0.999232540291635,0.0298283261802575,0.170180626213551
"130",0.999232540291635,0.0300429184549356,0.170576624572277
"131",0.999232540291635,0.0302575107296137,0.170841068029404
"132",0.999232540291635,0.0304721030042918,0.171043984591961
"133",0.999232540291635,0.03068669527897,0.171144604682922
"134",0.999232540291635,0.0309012875536481,0.171447567641735
"135",0.999232540291635,0.0311158798283262,0.171753585338593
"136",0.999232540291635,0.0313304721030043,0.171826243400574
"137",0.999232540291635,0.0315450643776824,0.171885959804058
"138",0.999232540291635,0.0317596566523605,0.172124750912189
"139",0.999232540291635,0.0319742489270386,0.172375157475471
"140",0.999232540291635,0.0321888412017167,0.172555036842823
"141",0.999232540291635,0.0324034334763948,0.172762185335159
"142",0.999232540291635,0.032618025751073,0.172986708581448
